Full_Name,SSN,Birth_Date,Age,Gender,Total_Charge,Diagnosis
Paul Rice,930-97-2737,11/18/1958,58,Male,669.54,H0242
Chris Davis,112-32-6035,4/16/1975,42,Male,1135.56,T2117
Frances Allen,853-49-8263,7/31/1945,72,Female,1368.71,H0242
Adam Mitchell,658-22-8968,3/22/2003,14,Male,661.83,G4021
Lisa Cole,875-02-2379,11/5/1972,44,Female,1474.26,S0047
Gary Clark,557-34-5463,1/14/1978,39,Male,1500.83,Z8559
Stephen Ward,516-84-5399,1/5/2007,10,Male,1408,M0847
Kimberly Cook,189-41-5455,3/10/1984,33,Female,623.51,Y0703
Tina Martinez,791-52-7433,4/18/1952,65,Female,24.5,A3790
Catherine Lawson,789-37-3151,11/29/1966,50,Female,1631.14,S0047
Maria Foster,521-40-2496,5/21/1987,30,Female,291.27,T2117
Dorothy Mendoza,406-42-2508,1/31/1992,25,Female,65.82,V0401
Kathleen Anderson,704-90-2309,10/31/1943,73,Female,1190.79,S0047
Brandon Nelson,558-28-8433,11/9/1946,70,Male,1521.39,I7021
Paul Adams,752-76-8970,8/29/1953,64,Male,1154.26,G4021
Frances Foster,719-49-7406,9/27/1995,22,Female,994.11,V0401
Angela Griffin,265-56-9676,6/4/1953,64,Female,934.55,Y0703
Louise Anderson,766-65-3048,5/18/1998,19,Female,1625.66,H0242
Carlos Fisher,822-95-8364,8/4/1997,20,Male,1305.95,S0047
Bobby Holmes,429-76-0167,7/20/1957,60,Male,1430.96,S0047
Ruth Cox,733-50-1486,7/1/1996,21,Female,983.05,S0047
Janice Stanley,106-35-2780,4/30/1982,35,Female,1285.23,S0047
Kimberly Jenkins,458-58-8066,3/8/2001,16,Female,138.8,T2117
Rose Sims,235-11-1726,5/22/2005,12,Female,107.58,H0242
Doris Jackson,852-91-5464,11/9/1985,31,Female,553.76,B2701
John Torres,992-63-5441,4/13/1968,49,Male,351.73,S0047
Kenneth Jordan,268-71-0966,2/21/1958,59,Male,385.07,S0047
Douglas White,551-26-3474,4/20/1967,50,Male,1061.87,T2117
Fred Ray,714-00-3804,9/23/2011,6,Male,1963.87,F1123
Jeremy Hunter,812-86-2453,1/4/1973,44,Male,280.38,S0047
Joyce Porter,629-68-6694,3/30/1989,28,Female,1160.53,S0047
Carl Hansen,560-27-4800,8/31/1947,70,Male,243,S0047
Doris Hill,814-61-7219,7/16/1989,28,Female,157,C4490
Ernest Perry,629-33-3446,3/29/2014,3,Male,1391.23,S0047
Carol Hart,316-64-9877,6/21/1955,62,Female,429.57,S0047
Sharon Howard,915-90-4219,3/8/1972,45,Female,866.71,T2117
Kenneth Evans,970-79-3774,1/29/2004,13,Male,759.68,C4490
Jennifer Ross,935-23-0964,3/18/1961,56,Female,965.92,S0047
Fred Ross,725-64-9200,12/6/2004,12,Male,617.6,M0847
Wayne Rice,984-57-8385,3/29/1964,53,Male,1404.47,S0047
Jane Howell,251-74-9076,12/23/2010,6,Female,1769.36,T2117
Paula Woods,307-77-4768,5/1/1958,59,Female,476.63,Z8559
Sean Gordon,192-47-2089,11/29/1949,67,Male,1145.28,R1934
Benjamin Ramos,975-30-0653,7/22/1974,43,Male,1270.7,T2117
Bruce Carr,203-99-1420,5/30/1964,53,Male,1312.86,T2117
Theresa Rose,656-85-9463,4/11/1983,34,Female,461.18,T2117
Todd Anderson,360-91-5824,2/3/2006,11,Male,1088.1,M0847
Donna Gonzalez,869-77-1845,9/13/1956,61,Female,1343.01,T2117
Albert Alvarez,678-84-8182,11/16/1964,52,Male,1483.5,S0047
Aaron Griffin,609-23-2344,8/5/1988,29,Male,1466.11,P0822
Billy Jenkins,675-66-3941,11/23/1977,39,Male,1142.61,T2117
Henry Jacobs,777-01-0691,11/30/1993,23,Male,794.21,S0047
Donald Taylor,504-55-5702,2/2/1984,33,Male,1525.31,S0047
Stephen Rodriguez,785-50-3127,10/24/2004,12,Male,1265.66,T2117
Janet Gutierrez,197-22-1565,3/25/1962,55,Female,418.92,G4021
Carlos Murphy,486-64-2269,10/24/1986,30,Male,1377.15,M0847
Amy Kim,449-06-1963,3/15/1994,23,Female,1813.16,B2701
Timothy Lawrence,635-80-3684,12/26/1954,62,Male,1813.35,S0047
Beverly Hamilton,309-66-6854,5/10/1974,43,Female,982.43,S0047
Jennifer Montgomery,615-29-4139,8/29/1983,34,Female,435.37,T2117
Kevin Simpson,620-11-5107,12/21/2002,14,Male,1635.08,C4490
Joe Alexander,666-66-6594,2/22/1990,27,Male,1325.08,H0242
Laura Parker,241-29-8167,7/3/1976,41,Female,1181.55,K5530
Joshua Rice,336-33-2509,8/6/1982,35,Male,288.55,S0047
Christine Carr,337-55-2215,10/10/1992,24,Female,836.6,M0847
Chris Garrett,765-95-3781,6/26/2001,16,Male,1463.28,V0401
Andrea Torres,390-83-8340,8/18/1970,47,Female,1673.6,T2117
Mildred Turner,271-03-4993,7/30/1966,51,Female,572.15,S0047
Todd Roberts,979-56-3515,3/18/1977,40,Male,944.79,S0047
Dorothy Morris,967-28-5262,3/13/1959,58,Female,913.94,V0401
Sandra Payne,837-04-0666,7/25/1964,53,Female,1532.14,O0989
Sean Reynolds,751-89-5914,5/21/1954,63,Male,1360.82,S0047
Arthur Harrison,342-24-5709,3/14/1979,38,Male,1139.92,F1123
Shirley Webb,155-23-1120,11/2/1949,67,Female,822.26,S0047
Kevin Reid,983-54-4470,6/14/1983,34,Male,1012.74,T2117
Jeffrey Brown,963-10-5120,3/31/1977,40,Male,714.08,M0847
Bonnie Rice,190-99-8762,8/11/1976,41,Female,1760.97,O0989
Gloria Howard,549-93-2728,6/29/1978,39,Female,1048.29,G4021
Joe Ortiz,949-94-6231,4/23/2011,6,Male,810.35,S0047
Rose Elliott,431-78-8269,9/24/1959,58,Female,697.97,S0047
Ann Gray,275-74-8752,9/13/1967,50,Female,1051.04,S0047
Virginia Fox,675-12-7607,7/29/1980,37,Female,1001.97,G4021
Jacqueline Richardson,908-60-1247,5/21/1987,30,Female,1397.84,S0047
Carlos Stevens,599-82-0216,6/29/1989,28,Male,107.8,T2117
Annie Jacobs,366-00-3077,1/6/2013,4,Female,103.19,S0047
Jonathan Burns,802-18-9471,5/16/1979,38,Male,827.2,Z8559
Donald Murphy,342-80-4730,12/7/2009,7,Male,954.92,T2117
Adam Palmer,547-79-1846,10/7/1937,79,Male,1203.11,S0047
Martha Mcdonald,224-26-7872,8/14/1990,27,Female,84.65,V0401
Shirley Riley,241-18-9661,5/27/1980,37,Female,1588.54,T2117
Timothy Chavez,571-54-0678,5/9/2004,13,Male,1939.3,T2117
Harry Reynolds,101-60-9666,2/17/2000,17,Male,118.95,S0047
Michael Evans,349-45-3165,12/12/1995,21,Male,628.77,T2117
Marie Arnold,971-19-4485,12/17/1940,76,Female,1612.95,W1130
Shawn Price,533-43-9415,3/18/1950,67,Male,1382.13,S0047
Christopher George,223-86-3736,6/8/1976,41,Male,983.82,S0047
Elizabeth Martinez,779-87-1159,10/17/1959,58,Female,1837.01,Y0703
Sean West,349-44-9944,6/17/2005,12,Male,1780.98,V0401
Cynthia Gray,909-96-3559,10/9/1961,56,Female,506.71,P0822
Janet Banks,420-89-3755,4/2/1985,32,Female,148.67,T2117
Nicole Ray,345-86-9764,7/7/1974,43,Female,1359.54,T2117
Amanda Carroll,936-72-7305,9/13/1957,60,Female,788.68,S0047
Jeremy Robertson,169-44-8610,12/26/1963,53,Male,468.03,S0047
Gloria Green,169-93-0878,10/14/2006,10,Female,1261.18,S0047
Karen Olson,333-91-2313,10/4/1954,63,Female,1514.74,S0047
Albert Hayes,800-74-9350,4/20/1951,66,Male,1805.13,S0047
Joyce Williams,575-86-6629,12/10/1941,75,Female,1034.21,T2117
Shirley Adams,431-38-2631,10/9/2009,7,Female,855.33,S0047
Henry Holmes,779-87-8480,2/9/2008,9,Male,1479.67,T2117
David Mcdonald,958-18-2242,3/15/2016,1,Male,1141.18,S0047
Paul Hamilton,978-44-1460,8/15/2013,4,Male,1335.12,S0047
Donald Montgomery,942-17-7031,9/4/1958,59,Male,1617.57,M0847
Norma Crawford,685-07-3709,11/10/1939,77,Female,1538.55,S0047
Carlos Carter,726-76-5982,8/30/1943,74,Male,1236.55,M0847
Todd Taylor,493-79-8611,5/31/1995,22,Male,230.68,S0047
Paul Berry,171-23-0813,5/2/1963,54,Male,1325.18,Y0703
Doris Ramirez,620-23-9496,6/29/1966,51,Female,931.8,S0047
Anne Cole,249-28-5417,1/24/1985,32,Female,1412.63,K5530
Alan Simpson,906-34-6136,1/16/1998,19,Male,1967.79,T2117
Melissa Richardson,559-64-2954,5/21/2011,6,Female,902.95,T2117
Patricia Hall,172-24-7637,4/9/1969,48,Female,764.25,S0047
Laura Wheeler,213-20-2769,1/18/1987,30,Female,16.65,S0047
Jack Shaw,173-33-4249,6/5/1981,36,Male,702.67,S0047
James Ward,838-03-2238,5/18/2012,5,Male,1168.75,A3790
Cynthia Howell,778-94-9232,1/22/2007,10,Female,1358.55,S0047
Ronald Stewart,425-39-4842,10/3/2009,8,Male,1718.93,A3790
Ruby James,731-21-8624,7/25/1961,56,Female,1113.79,E1037
Jacqueline Medina,548-12-5869,3/1/1950,67,Female,1913.23,D3130
Christopher Stewart,286-41-9654,8/17/1992,25,Male,1299.46,W1130
Donna Stephens,595-40-2134,6/3/1998,19,Female,1472.41,W1130
Laura Smith,727-17-0955,10/10/2007,9,Female,313.97,S0047
Joshua Sanders,606-03-0272,7/30/2015,2,Male,249.51,T2117
Pamela Meyer,378-22-4757,1/23/1994,23,Female,1709.05,L2082
Lori Hawkins,104-66-4529,4/18/1943,74,Female,632.56,S0047
Anna Palmer,457-08-3171,9/16/1983,34,Female,14.42,T2117
Carlos Perry,344-48-8869,1/15/2007,10,Male,1909.03,S0047
Johnny Reid,155-39-4785,4/23/1974,43,Male,701.8,V0401
Melissa Snyder,386-03-4390,9/18/1937,79,Female,396.68,S0047
Virginia Austin,201-34-3691,7/21/1977,40,Female,1465.92,S0047
Philip Moreno,258-09-8403,9/12/1968,49,Male,1451.02,S0047
Howard Flores,667-14-7347,11/16/1950,66,Male,941.43,C4490
Robert Gordon,360-93-8084,10/22/1980,36,Male,696.78,H0242
Joe Bowman,335-81-8162,11/12/1950,66,Male,332.27,S0047
George Collins,604-90-8154,6/24/1994,23,Male,1708.93,T2117
Jonathan Day,752-21-6610,9/25/1940,77,Male,1515.64,T2117
Heather Ramos,525-18-1172,7/14/1943,74,Female,1383.3,T2117
Shirley Day,946-79-2211,8/22/1940,77,Female,872.74,S0047
Ernest Campbell,674-18-2349,5/17/1981,36,Male,777.25,S0047
Matthew Frazier,912-84-7343,3/18/1989,28,Male,90.16,D3130
Randy Knight,497-27-1917,2/23/1948,69,Male,252.85,Y0703
George Lane,598-04-5170,3/20/2009,8,Male,303.4,V0401
Brenda Harris,984-23-7689,4/9/1974,43,Female,1413.89,G4021
Thomas Harper,675-68-4264,2/3/1965,52,Male,1090.22,T2117
Doris Gonzales,685-23-6227,7/14/1945,72,Female,855.59,M0847
Steven Payne,410-93-8367,3/19/1980,37,Male,944.82,S0047
Marie Burton,107-18-9972,12/14/1967,49,Female,1215.32,T2117
Keith Black,997-13-3086,12/6/1954,62,Male,1655.28,M0847
Benjamin Hernandez,998-84-9687,6/24/1946,71,Male,835.83,S0047
Gloria Butler,111-69-5746,11/29/1980,36,Female,1176.29,S0047
Bruce Carter,213-56-9389,7/23/1970,47,Male,742.24,S0047
Barbara Howell,368-49-3464,12/29/2007,9,Female,1304.85,S0047
Cynthia Dean,819-40-6673,7/26/1998,19,Female,331.82,S0047
Roy Coleman,285-48-4919,2/27/1946,71,Male,1642.23,F1123
Frank Rogers,960-36-4755,1/1/2012,5,Male,1410.44,S0047
Frances Ross,825-34-5428,10/10/1980,37,Female,1313.86,T2117
Martin Holmes,398-05-9731,8/22/2008,9,Male,1960.54,Z8559
Diana Fisher,736-86-1725,4/15/2007,10,Female,68.38,S0047
Howard Webb,455-45-4826,2/15/1969,48,Male,282.03,M0847
Thomas Fernandez,115-67-4180,10/30/2011,5,Male,1548.2,K5530
Randy Larson,429-06-7928,4/2/2011,6,Male,709.04,S0047
Rebecca Edwards,298-94-8663,2/16/2007,10,Female,693.25,O0989
Jason Nelson,263-76-4625,8/13/1996,21,Male,276.99,H0242
Clarence Wheeler,372-10-3120,10/16/2007,9,Male,1810.77,S0047
Susan Schmidt,992-33-8282,2/25/1941,76,Female,122.41,Y0703
Louise Mcdonald,580-94-3538,5/20/2009,8,Female,1431.87,T2117
Albert Hamilton,583-29-0733,7/16/2003,14,Male,326.2,T2117
Carlos Russell,542-31-2420,10/21/1941,76,Male,959.45,S0047
Antonio Morris,941-15-5425,10/8/1963,54,Male,844.87,S0047
Thomas Fox,179-71-5381,9/20/1973,44,Male,211.05,S0047
Matthew Cook,475-79-7077,12/20/1958,58,Male,468.15,V0401
Mildred Murray,624-74-5323,12/8/1975,41,Female,1478.35,S0047
George Carter,122-43-6449,9/26/1955,62,Male,375.73,M0847
Wanda Marshall,860-31-3748,10/17/1994,22,Female,726.82,T2117
Steven Pierce,187-88-8462,3/4/2002,15,Male,1739.81,S0047
Evelyn Reyes,184-58-6338,12/25/1990,26,Female,1249.3,H0242
Christopher Miller,893-99-7399,1/19/1953,64,Male,1330.72,W1130
Kathy Stanley,247-42-3249,7/25/1962,55,Female,877.53,T2117
David Sullivan,588-89-5804,2/11/2015,2,Male,1580.27,S0047
Victor Frazier,832-75-0400,5/19/2003,14,Male,261.24,M0847
Deborah Larson,479-29-2430,8/29/1991,26,Female,1068.18,S0047
Raymond Lawson,358-56-5136,4/13/1937,79,Male,1351.11,L2082
Alan Alexander,205-09-7159,3/22/2009,8,Male,837.06,S0047
Debra Harper,452-82-8861,2/23/2015,2,Female,1534.45,S0047
Anthony Fisher,862-73-8042,8/31/1969,48,Male,1065.38,T2117
Helen Ellis,241-12-7518,1/7/1960,57,Female,1233.93,T2117
Earl Stevens,866-59-7330,1/25/2014,3,Male,85.78,S0047
Helen Warren,418-24-0788,9/23/1992,25,Female,1570.12,S0047
Mark Simmons,436-51-3541,6/23/1953,64,Male,144.53,S0047
Barbara Wilson,292-60-4961,6/26/2008,9,Female,505.42,S0047
Steven Rodriguez,628-08-3949,6/9/1944,73,Male,1338.43,V0401
Samuel Warren,542-86-4609,3/16/1947,70,Male,477.13,S0047
Gregory Wilson,791-29-5306,9/1/1941,76,Male,768.76,M0847
Jason Thompson,882-47-0302,10/11/1999,17,Male,1201.08,Q7181
Charles Young,490-46-0457,8/31/1942,75,Male,299.08,T2117
Louis Turner,967-16-3094,5/15/1955,62,Male,260.11,H0242
Amy Lawson,461-01-8848,1/10/1956,61,Female,102.6,V0401
Laura Gonzalez,145-20-6713,7/14/1967,50,Female,1259.81,T2117
Nicholas Burke,493-33-7208,10/11/1986,31,Male,1220.12,T2117
Jeffrey Mills,437-82-3717,10/22/1981,35,Male,726.48,R1934
Justin Thomas,545-50-5534,10/15/1938,79,Male,581.47,T2117
Lois Warren,414-47-7368,5/17/1945,72,Female,1780.49,S0047
Fred Elliott,717-38-9821,2/15/1954,63,Male,1423.28,S0047
Jennifer Ramirez,481-77-5537,2/3/1949,68,Female,171.01,S0047
Barbara Lewis,282-92-9309,12/14/1979,37,Female,1130.14,F1123
Barbara Alvarez,922-27-5006,8/19/1960,57,Female,1395.96,S0047
James Alexander,913-78-9099,10/6/2007,10,Male,1467.34,M0847
Matthew Black,872-78-5071,12/22/1999,17,Male,89.96,S0047
Charles Gutierrez,379-55-1283,2/16/1981,36,Male,1947.38,S0047
Alice Cook,561-95-6235,3/5/1995,22,Female,738.35,G4021
Clarence Larson,154-09-9940,4/25/1940,77,Male,775.94,S0047
Christina Welch,503-27-4146,5/19/1941,76,Female,954.26,T2117
Victor Cooper,500-36-3475,9/6/2014,3,Male,1531.69,S0047
